X,Y,Z,E
96.5302,73.6403,0,0
96.9455,73.9591,0,0
97.3664,74.2705,0,0
97.7927,74.5746,0,0
98.2242,74.8711,0,0
98.6608,75.1601,0,0
99.1024,75.4414,0,0
99.5489,75.715,0,0
100,75.9808,0,0
100.4557,76.2386,0,0
100.9159,76.4884,0,0
101.3803,76.7302,0,0
101.8489,76.9638,0,0
102.3215,77.1892,0,0
102.7979,77.4064,0,0
103.2781,77.6151,0,0
103.7618,77.8155,0,0
104.249,78.0074,0,0
104.7394,78.1908,0,0
105.233,78.3656,0,0
105.7295,78.5317,0,0
106.2288,78.6891,0,0
106.7309,78.8379,0,0
107.2354,78.9778,0,0
107.7423,79.1089,0,0
108.2515,79.2311,0,0
108.7626,79.3444,0,0
109.2757,79.4488,0,0
109.7906,79.5442,0,0
110.307,79.6307,0,0
110.8248,79.708,0,0
111.3439,79.7764,0,0
111.8641,79.8357,0,0
112.3853,79.8858,0,0
112.9073,79.9269,0,0
113.4299,79.9589,0,0
113.953,79.9817,0,0
114.4764,79.9954,0,0
115,80,0,0
115.5236,79.9954,0,0
116.047,79.9817,0,0
116.5701,79.9589,0,0
117.0927,79.9269,0,0
117.6147,79.8858,0,0
118.1359,79.8357,0,0
118.6561,79.7764,0,0
119.1752,79.708,0,0
119.693,79.6307,0,0
120.2094,79.5442,0,0
120.7243,79.4488,0,0
121.2374,79.3444,0,0
121.7485,79.2311,0,0
122.2577,79.1089,0,0
122.7646,78.9778,0,0
123.2691,78.8379,0,0
123.7712,78.6891,0,0
124.2705,78.5317,0,0
124.767,78.3656,0,0
125.2606,78.1908,0,0
125.751,78.0074,0,0
126.2382,77.8155,0,0
126.7219,77.6151,0,0
127.2021,77.4064,0,0
127.6785,77.1892,0,0
128.1511,76.9638,0,0
128.6197,76.7302,0,0
129.0841,76.4884,0,0
129.5443,76.2386,0,0
130,75.9808,0,0
130.4511,75.715,0,0
130.8976,75.4414,0,0
131.3392,75.1601,0,0
131.7758,74.8711,0,0
132.2073,74.5746,0,0
132.6336,74.2705,0,0
133.0545,73.9591,0,0
133.4698,73.6403,0,0
133.8796,73.3144,0,0
134.2836,72.9813,0,0
134.6818,72.6413,0,0
135.0739,72.2943,0,0
135.46,71.9406,0,0
135.8398,71.5802,0,0
136.2132,71.2132,0,0
136.5802,70.8398,0,0
136.9406,70.46,0,0
137.2943,70.0739,0,0
137.6413,69.6818,0,0
137.9813,69.2836,0,0
138.3144,68.8796,0,0
138.6403,68.4698,0,0
138.9591,68.0545,0,0
139.2705,67.6336,0,0
139.5746,67.2073,0,0
139.8711,66.7758,0,0
140.1601,66.3392,0,0
140.4414,65.8976,0,0
140.715,65.4511,0,0
140.9808,65,0,0
141.2386,64.5443,0,0
141.4884,64.0841,0,0
141.7302,63.6197,0,0
141.9638,63.1511,0,0
142.1892,62.6785,0,0
142.4064,62.2021,0,0
142.6151,61.7219,0,0
142.8155,61.2382,0,0
143.0074,60.751,0,0
143.1908,60.2606,0,0
143.3656,59.767,0,0
143.5317,59.2705,0,0
143.6891,58.7712,0,0
143.8379,58.2691,0,0
143.9778,57.7646,0,0
144.1089,57.2577,0,0
144.2311,56.7485,0,0
144.3444,56.2374,0,0
144.4488,55.7243,0,0
144.5442,55.2094,0,0
144.6307,54.693,0,0
144.708,54.1752,0,0
144.7764,53.6561,0,0
144.8357,53.1359,0,0
144.8858,52.6147,0,0
144.9269,52.0927,0,0
144.9589,51.5701,0,0
144.9817,51.047,0,0
144.9954,50.5236,0,0
145,50,0,0
145,50,10,0
